,AWB Code,Order ID,Charged Weight,Warehouse Pincode_x,Customer Pincode,Zone_x,Type of Shipment,Billing Amount (Rs.),ExternOrderNo,Order Qty,Weight (g),Total_Weight,X_Charged_Weight_KG,Warehouse Pincode_y,Zone_y,Zone,Weight Slabs,Forward Fixed Charge,Forward Additional Weight Slab Charge,RTO Fixed Charge,RTO Additional Weight Slab Charge,X_price
88,1091119169701,2001815688,0.2,121003,302017,d,Forward charges,45.4,2001815688,2.0,220,220.0,0.22,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
89,1091119169701,2001815688,0.2,121003,302017,d,Forward charges,45.4,2001815688,2.0,220,220.0,0.22,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
90,1091119367193,2001816131,0.7,121003,302017,d,Forward charges,90.2,2001816131,3.0,452,554.0,0.554,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
91,1091119367193,2001816131,0.7,121003,302017,d,Forward charges,90.2,2001816131,3.0,452,554.0,0.554,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
92,1091119367193,2001816131,0.7,121003,302017,d,Forward charges,90.2,2001816131,3.0,452,554.0,0.554,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
93,1091119367193,2001816131,0.7,121003,302017,d,Forward charges,90.2,2001816131,3.0,452,554.0,0.554,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
94,1091119367193,2001816131,0.7,121003,302017,d,Forward charges,90.2,2001816131,3.0,452,554.0,0.554,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
95,1091119429202,2001816996,0.5,121003,335512,d,Forward charges,45.4,2001816996,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
96,1091120959225,2001821185,2.1,121003,313001,d,Forward charges,224.6,2001821185,10.0,1844,2098.0,2.098,121003,b,b,1.0,33.0,28.3,20.5,28.3,89.6
97,1091120959225,2001821185,2.1,121003,313001,d,Forward charges,224.6,2001821185,10.0,1844,2098.0,2.098,121003,b,b,1.0,33.0,28.3,20.5,28.3,89.6
98,1091120959225,2001821185,2.1,121003,313001,d,Forward charges,224.6,2001821185,10.0,1844,2098.0,2.098,121003,b,b,1.0,33.0,28.3,20.5,28.3,89.6
99,1091120959225,2001821185,2.1,121003,313001,d,Forward charges,224.6,2001821185,10.0,1844,2098.0,2.098,121003,b,b,1.0,33.0,28.3,20.5,28.3,89.6
100,1091120962515,2001821284,0.2,121003,313001,d,Forward charges,45.4,2001821284,2.0,177,177.0,0.177,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
101,1091120962515,2001821284,0.2,121003,313001,d,Forward charges,45.4,2001821284,2.0,177,177.0,0.177,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
102,1091120962515,2001821284,0.2,121003,313001,d,Forward charges,45.4,2001821284,2.0,177,177.0,0.177,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
103,1091120962515,2001821284,0.2,121003,313001,d,Forward charges,45.4,2001821284,2.0,177,177.0,0.177,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
